ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source
BRKM5,,Braskem S.A.,Basic Materials,Chemicals,3929053952.0,70602997760.0,8120000000.0,-5539999744.0,-5452643887.73,5928000000.0,68296998912.0,1.016020825505692,0.1872,-0.07847,-12.525483108421527,0.216,,-1.4100085699204978,-1.387775264565774,17.969465072899055,8.102800520197045,,-0.31198582,8.103,65794740224.0,8120000000.0,-7759124992.0,,-6.95,-15.802,Yahoo Finance
BRSR6,,Banco do Estado do Rio Grande do Sul S.A.,Financial Services,Banks - Regional,5435270656.0,7334586880.0,,1641805056.0,5676086673.625,6962681856.0,36434948096.0,0.14481,0.16420999,0.22384001,6.4190260281439695,-0.115,-0.292,0.30173064855011483,2.1087283979754186,1.3494428050061027,,3.3142142,0.47421944,,34911289344.0,,,0.157,4.01,28.025,Yahoo Finance
CAML3,,Camil Alimentos S.A.,Consumer Defensive,Packaged Foods,1585981312.0,11095651328.0,808681024.0,110276000.0,2988807206.016,1455809024.0,5946954240.0,0.0341,0.05231,0.00994,1.9897416695294747,-0.007,-0.585,0.06451612903225806,1.8845159575534642,6.996079489743698,7.5153999706069525,15.5,0.53064024,7.515,6077561344.0,808681024.0,-242458368.0,0.287,0.3,8.763,Yahoo Finance
CASH3,,Méliuz S.A.,Communication Services,Internet Content & Information,618624192.0,495894016.0,100455000.0,-100710000.0,429751178.504,112637000.0,3000.0,-0.20842,0.11344,-0.20309,6.980783648908776e-06,0.182,,-0.16279673718288729,0.6946886468007017,0.8016078621121885,5.0971529142402074,,1.4394938,5.097,512034496.0,100455000.0,29781000.0,0.778,-0.66,3.793,Yahoo Finance
CBAV3,,Companhia Brasileira de Alumínio,Basic Materials,Aluminum,7207374848.0,9321967616.0,1491926016.0,597929984.0,5064043437.266,1810013952.0,4716751872.0,0.14575,0.16893,0.06414,0.9314201053825286,0.281,,0.08310750254641389,0.7026196682496922,1.2933929221936868,6.931510770035396,12.032608,1.4232451,6.932,10341301248.0,1491926016.0,598254848.0,1.013,0.92,7.778,Yahoo Finance
CEAB3,,C&A Modas S.A.,Consumer Cyclical,Specialty Retail,2400104960.0,8014325760.0,1003480000.0,562297024.0,3802966347.1480002,781976000.0,2725574912.0,0.15493,0.15468,0.07016,0.7166970893770911,0.012,-0.095,0.2324999875031257,1.584499914793517,3.3391563675615252,4.328641415872763,4.3010755,0.63111395,4.329,4343705088.0,1003480000.0,218054880.0,0.821,1.86,12.676,Yahoo Finance
CMIG4,,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Regulated Electric,29264775168.0,43739537408.0,7952136192.0,4595104768.0,19402576259.76,3082108928.0,22749945856.0,0.15944,0.15578,0.105059996,1.1725219141739587,0.034,-0.205,0.167155437523758,0.996089948516095,1.4946138200927523,6.157884394543327,5.9824557,1.0039254,6.158,48968335360.0,7952136192.0,-3373203456.0,,1.71,10.19,Yahoo Finance
CMIN3,,CSN Mineração S.A.,Basic Materials,Steel,29817122816.0,17392873472.0,5835466752.0,2333062912.0,6620047006.74,7939402240.0,8964505600.0,0.28136,0.1882,0.13414,1.3541453090700204,-0.105,0.896,0.05776173285198556,0.22202166265362513,0.583318302685694,5.332704768703307,17.3125,4.504065,5.333,31118821376.0,5835466752.0,-58783000.0,,0.32,1.23,Yahoo Finance
COGN3,,Cogna Educação S.A.,Consumer Defensive,Education & Training Services,4222593280.0,7535162880.0,1766377984.0,671857024.0,13492287212.464,1205331968.0,6653981184.0,0.046550002,0.19761999,0.08916,0.4931692513818664,0.319,0.539,0.17061612571146284,3.1952607891974623,1.784487015524261,5.378545297810958,5.8611107,0.3129635,5.379,9500544000.0,1766377984.0,378490368.0,0.215,0.36,6.742,Yahoo Finance
CPFE3,,CPFL Energia S.A.,Utilities,Utilities - Regulated Electric,47576588288.0,45612396544.0,13895108608.0,6004880896.0,22489702159.920002,3988265984.0,36626141184.0,0.27276,0.26161,0.13165,1.628573865654532,0.053,0.215,0.12618067255307916,0.4727052205989997,0.9587151619172445,5.841767111720585,7.925144,2.1154833,5.842,81171988480.0,13895108608.0,-15126375.0,0.111,5.21,19.518,Yahoo Finance
CPLE3,,Companhia Paranaense de Energia - COPEL,Utilities,Utilities - Regulated Electric,40653967360.0,27985377280.0,6831488000.0,3172987904.0,22574979720.384003,3272766976.0,23569670144.0,0.12764,0.2214,0.11406,1.0440616308823456,0.111,0.5,0.07815924351856657,0.5552958621906711,0.6883799810282526,9.334836072024133,12.794392,1.8008418,9.335,63770820608.0,6831488000.0,3834806272.0,0.267,1.07,7.602,Yahoo Finance
CSAN3,,Cosan S.A.,Energy,Oil & Gas Refining & Marketing,13055853568.0,40083075072.0,14518722560.0,-8892040192.0,5285451063.1,4743000064.0,12037999616.0,-0.27222002,0.30708998,-0.22184,2.2775728073697317,0.265,17.654,-0.6810768936467287,0.40483387844215063,3.070122904123552,1.4016972248004718,,2.470149,1.402,20350853120.0,14518722560.0,-1259318656.0,0.489,-2.9,1.34,Yahoo Finance
CSED3,,Cruzeiro do Sul Educacional S.A.,Consumer Defensive,Education & Training Services,1512851712.0,2866369024.0,667900992.0,271939008.0,1652106845.664,930828032.0,2512210944.0,0.16947001,0.20291,0.09487,1.5206104560327722,0.045,-0.288,0.1807228926549572,1.0920481964551023,1.894679433062637,4.64369051872886,5.5333333,0.9157105,4.644,3101525504.0,667900992.0,249568128.0,0.413,0.75,4.532,Yahoo Finance
