date,horizon,source,portfolio,n,stock_return,ibov_return,gross_alpha_vs_ibov,net_alpha_vs_ibov,cdi_return,net_excess_vs_cdi
2025-02-13,5,ranker_v2,top5,5,0.04356390300509738,0.022034441329595422,0.02152946167550196,0.019529461675501958,0.002454255806815686,0.039109647198281694
2025-02-13,5,ranker_v2,top10,10,0.03723729328364582,0.022034441329595422,0.015202851954050401,0.013202851954050401,0.002454255806815686,0.03278303747683013
2025-02-13,5,ranker_v2,top20,20,0.029824760207785787,0.022034441329595422,0.007790318878190367,0.005790318878190367,0.002454255806815686,0.0253705044009701
2025-02-13,5,ranker_v2,top_decile,11,0.034598013154716556,0.022034441329595422,0.012563571825121134,0.010563571825121134,0.002454255806815686,0.030143757347900868
2025-02-13,5,momentum_126_baseline,top10,10,0.015408727686268109,0.022034441329595422,-0.006625713643327313,-0.008625713643327313,0.002454255806815686,0.010954471879452423
2025-02-20,5,ranker_v2,top5,5,-0.041515151571443566,-0.021959075555834207,-0.01955607601560936,-0.02155607601560936,0.002454255806815686,-0.045969407378259254
2025-02-20,5,ranker_v2,top10,10,-0.028799825324648608,-0.021959075555834207,-0.006840749768814403,-0.008840749768814403,0.002454255806815686,-0.033254081131464296
2025-02-20,5,ranker_v2,top20,20,0.029455109555387986,-0.021959075555834207,0.0514141851112222,0.0494141851112222,0.002454255806815686,0.025000853748572298
2025-02-20,5,ranker_v2,top_decile,11,-0.016819744910846004,-0.021959075555834207,0.005139330644988202,0.003139330644988202,0.002454255806815686,-0.021274000717661688
2025-02-20,5,momentum_126_baseline,top10,10,-0.023834605334410175,-0.021959075555834207,-0.0018755297785759684,-0.0038755297785759684,0.002454255806815686,-0.028288861141225863
2025-02-27,5,ranker_v2,top5,5,-0.021573412850393513,-0.002243607721215679,-0.019329805129177834,-0.021329805129177835,0.002454255806815686,-0.0260276686572092
2025-02-27,5,ranker_v2,top10,10,0.02099459209139115,-0.002243607721215679,0.02323819981260683,0.02123819981260683,0.002454255806815686,0.016540336284575463
2025-02-27,5,ranker_v2,top20,20,0.009732355257891023,-0.002243607721215679,0.011975962979106702,0.009975962979106702,0.002454255806815686,0.0052780994510753364
2025-02-27,5,ranker_v2,top_decile,11,0.016041202628379905,-0.002243607721215679,0.018284810349595584,0.016284810349595585,0.002454255806815686,0.011586946821564218
2025-02-27,5,momentum_126_baseline,top10,10,0.05008764983658154,-0.002243607721215679,0.05233125755779722,0.050331257557797215,0.002454255806815686,0.04563339402976585
2025-03-10,5,ranker_v2,top5,5,0.03799907111535676,0.05071515190452858,-0.012716080789171812,-0.014716080789171812,0.002454255806815686,0.03354481530854107
2025-03-10,5,ranker_v2,top10,10,0.055983690427814245,0.05071515190452858,0.0052685385232856706,0.0032685385232856705,0.002454255806815686,0.05152943462099856
2025-03-10,5,ranker_v2,top20,20,0.05484293855158401,0.05071515190452858,0.004127786647055426,0.002127786647055426,0.002454255806815686,0.05038868274476832
2025-03-10,5,ranker_v2,top_decile,11,0.0590074313453104,0.05071515190452858,0.008292279440781824,0.006292279440781824,0.002454255806815686,0.05455317553849471
2025-03-10,5,momentum_126_baseline,top10,10,0.028751334694387176,0.05071515190452858,-0.0219638172101414,-0.023963817210141403,0.002454255806815686,0.024297078887571488
2025-03-17,5,ranker_v2,top5,5,-0.024382582129080864,0.0037222740266291687,-0.028104856155710033,-0.030104856155710034,0.0025592852282743106,-0.028941867357355176
2025-03-17,5,ranker_v2,top10,10,0.04580857222987972,0.0037222740266291687,0.04208629820325055,0.04008629820325055,0.0025592852282743106,0.041249287001605406
2025-03-17,5,ranker_v2,top20,20,0.020962047218066975,0.0037222740266291687,0.017239773191437806,0.015239773191437806,0.0025592852282743106,0.016402761989792666
2025-03-17,5,ranker_v2,top_decile,11,0.039562937558850604,0.0037222740266291687,0.035840663532221435,0.033840663532221434,0.0025592852282743106,0.03500365233057629
2025-03-17,5,momentum_126_baseline,top10,10,0.013928980674090097,0.0037222740266291687,0.010206706647460928,0.008206706647460928,0.0025592852282743106,0.009369695445815786
2025-03-24,5,ranker_v2,top5,5,-0.03307072035047036,-0.008079438932082406,-0.024991281418387957,-0.026991281418387955,0.0026293109559378802,-0.03770003130640824
2025-03-24,5,ranker_v2,top10,10,-0.00999198647089703,-0.008079438932082406,-0.0019125475388146241,-0.003912547538814624,0.0026293109559378802,-0.01462129742683491
2025-03-24,5,ranker_v2,top20,20,0.0014101642342369102,-0.008079438932082406,0.009489603166319315,0.007489603166319315,0.0026293109559378802,-0.00321914672170097
2025-03-24,5,ranker_v2,top_decile,11,-0.0088439070082591,-0.008079438932082406,-0.0007644680761766942,-0.0027644680761766943,0.0026293109559378802,-0.01347321796419698
2025-03-24,5,momentum_126_baseline,top10,10,0.018471423993447478,-0.008079438932082406,0.026550862925529883,0.02455086292552988,0.0026293109559378802,0.013842113037509596
2025-03-31,5,ranker_v2,top5,5,0.021533511143156714,-0.03586672808229696,0.057400239225453675,0.055400239225453674,0.0026293109559378802,0.016904200187218832
2025-03-31,5,ranker_v2,top10,10,0.00829398914196341,-0.03586672808229696,0.04416071722426037,0.04216071722426037,0.0026293109559378802,0.0036646781860255294
2025-03-31,5,ranker_v2,top20,20,-0.0006411413492743434,-0.03586672808229696,0.03522558673302262,0.033225586733022616,0.0026293109559378802,-0.005270452305212224
2025-03-31,5,ranker_v2,top_decile,11,0.008909327892113487,-0.03586672808229696,0.04477605597441045,0.04277605597441045,0.0026293109559378802,0.004280016936175607
2025-03-31,5,momentum_126_baseline,top10,10,-0.04876334950403736,-0.03586672808229696,-0.012896621421740395,-0.014896621421740395,0.0026293109559378802,-0.05339266045997524
