ticker,cnpj,company_name,sector,industry,market_cap,revenue,operating_income,net_income,equity,total_cash,total_debt,roe,operating_margin,profit_margin,debt_to_equity,revenue_growth,earnings_growth,earnings_yield,book_to_price,sales_yield,ev_to_ebit,raw_pe,raw_pb,raw_ev_ebitda,enterprise_value,ebitda,fcf,beta,trailing_eps,book_value_per_share,fundamental_source,price,avg_daily_volume_brl,pe,pb,ev_ebitda,fcf_yield,fcf_margin,debt_to_ebitda,ret_3m,ret_6m,ret_12m,price_to_ma50,price_to_ma200,volatility,max_drawdown,history_days,last_price_date
HYPE3,,Hypera S.A.,Healthcare,Drug Manufacturers - Specialty & Generic,15206233088.0,8818791424.0,2728391936.0,1744487040.0,14132644519.125,1578512000.0,7481970176.0,0.13163,0.28823,0.19823,0.5294104840658113,0.085,0.046,0.1212962934885117,0.92939808833966,0.5799458270148016,7.708108094921448,8.244275,1.0759652,7.708,21030739968.0,2728391936.0,751977280.0,0.105,2.62,20.075,Yahoo Finance,21.600000381469727,56146104.991575874,8.244274954759437,1.0759651497618794,7.708108094921448,0.049451910650601755,0.08526987926639504,2.1637133939982442,-0.06871133789171557,-0.037992538819680566,,1.0358824739022927,0.9588330684354387,0.3076137134525625,-0.25336121540189016,251,2026-08-07 00:00:00+00:00
IGTI11,,Iguatemi S.A.,Real Estate,Real Estate Services,,1523744000.0,995592000.0,638571008.0,,2298068992.0,4436665856.0,0.13515,0.64286005,0.41908002,,-0.015,-0.354,0.0066995480484886,0.684586962671116,,9.39198418629318,149.2638,1.4607348,9.392,9350584320.0,995592000.0,769820736.0,0.083,0.163,16.656,Yahoo Finance,24.329999923706055,48552136.84775035,149.26380321292058,1.4607348657364347,9.39198418629318,,0.5052165823130395,2.148065536886596,-0.10835199914553406,-0.11853145504920037,,0.9782335080919101,0.930058750097188,0.28010489156808804,-0.22811055656871582,251,2026-08-07 00:00:00+00:00
INTB3,,Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira,Industrials,Building Products & Equipment,4816547328.0,4552335872.0,569356032.0,596331008.0,3302541733.23,1445232000.0,875651968.0,0.18591,0.121750005,0.13099,0.265144860756561,-0.078,0.143,0.1243206575369305,0.6856657797579806,0.9451450514221958,7.498964275485186,8.0437155,1.4584365,7.499,4269580544.0,569356032.0,769173760.0,-0.033,1.83,10.093,Yahoo Finance,14.720000267028809,26612582.882766724,8.043715992911917,1.4584365666331922,7.498964275485186,0.15969401058898927,0.16896243634634875,-1.0003934269374704,-0.01558679010737063,0.22649523376495106,,1.1085872908153678,1.152357773443812,0.3563377890507607,-0.17868742785198655,251,2026-08-07 00:00:00+00:00
IRBR3,,IRB-Brasil Resseguros S.A.,Financial Services,Insurance - Reinsurance,4232141056.0,5175173120.0,606233024.0,350412992.0,5285306151.54,5041000960.0,284576992.0,0.06737,-0.04177,0.06771,0.0538430478463545,-0.068,-0.3,0.082278482054158,1.248849185475584,1.222826236536479,-0.8257660605437424,12.153846,0.8007372,-0.826,-500606656.0,606233024.0,-69652376.0,0.704,4.29,65.115,Yahoo Finance,52.13999938964844,19945635.366516113,12.153846011573062,0.800737147963579,-0.8257660605437424,-0.016457952388248563,-0.013458946084493498,-7.845867479499105,-0.0016636519047416032,-0.0637913190237207,,0.9697292548620029,0.9878926791153924,0.2984233502565344,-0.18990289393522253,251,2026-08-07 00:00:00+00:00
ISAE4,,ISA Energía Brasil S.A.,Utilities,Utilities - Independent Power Producers,18537529344.0,10674519040.0,4684274176.0,2817168896.0,14932493897.888,1757264000.0,17725698048.0,0.13186,0.50495,0.26392,1.1870554355630485,0.813,2.2,0.1339931423649669,1.2220023378371123,0.5758328869998524,7.172681349043221,7.4630685,0.81832904,7.173,33598806016.0,4684274176.0,1482226688.0,0.118,3.52,32.102,Yahoo Finance,26.270000457763672,79168367.962869,7.46306831186468,0.8183290903296889,7.172681349043221,0.0799581573409484,0.13885653137586235,3.408945217129835,-0.12666221660924015,-0.050687193204395964,,0.94956155587686,0.9603023647863184,0.2461468532094255,-0.16935455029410829,251,2026-08-07 00:00:00+00:00
ITSA4,,Itaúsa S.A.,Industrials,Conglomerates,148049100800.0,8365000192.0,1706000000.0,16983000064.0,59160644930.38,6970999808.0,12652000256.0,0.184,0.04705,2.0302498,0.2138583896590177,0.061,0.112,0.1150643514645218,0.6090083170438834,0.0565015264989708,92.93369742555686,8.690789,1.6420137,92.934,158544887808.0,1706000000.0,-1728249984.0,0.257,1.52,8.045,Yahoo Finance,13.210000038146973,361786322.11140954,8.690789498780903,1.6420136778305747,92.93369742555686,-0.011673491933832806,-0.20660489471988766,3.3300119859320048,0.009547478330355297,-0.004705623510743329,,0.9934843449767402,1.0412115065542558,0.2403163401737618,-0.17044345605940647,251,2026-08-07 00:00:00+00:00
ITUB3,,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional,481104723968.0,143713992704.0,,46827999232.0,111000983482.543,484164993024.0,1115894054912.0,0.21476,0.39073002,0.32584,10.05301052208691,0.175,0.081,0.0962199233358138,0.4526689770287695,0.2987166526212678,,10.392858,2.2091198,,1123080732672.0,,,0.159,4.2,19.759,Yahoo Finance,43.650001525878906,167075982.59049734,10.392857506161643,2.209119971956015,,,,,0.08947728524771725,0.07072816360247791,,1.0006744543230066,1.098853803431407,0.23569085932874512,-0.15884649600862433,251,2026-08-07 00:00:00+00:00
ITUB4,,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional,449141276672.0,143713992704.0,,46827999232.0,106780196074.835,484164993024.0,1115894054912.0,0.21476,0.39073002,0.32584,10.450384021864368,0.175,0.081,0.103067484156724,0.4848834669866121,0.3199750282781331,,9.702381,2.0623512,,1091117318144.0,,,0.159,4.2,19.759,Yahoo Finance,40.75,1032455243.75,9.702380952380953,2.0623513335695125,,,,,0.02086176992907829,-0.06852326610428294,,0.9824560727126798,0.9977153651604507,0.2351746299771876,-0.21199888281611035,251,2026-08-07 00:00:00+00:00
JALL3,,Jalles Machado S/A,Consumer Defensive,Confectioners,612141696.0,2148914944.0,731507968.0,9496000.0,2010116728.224,1805147008.0,4900728832.0,0.0047299997,-0.27824,0.00442,2.438031962616392,-0.254,,0.0147783257055497,3.2837439830317123,3.51048614731188,5.068603403100593,67.666664,0.30453044,5.069,3707723776.0,731507968.0,134564256.0,0.023,0.03,6.666,Yahoo Finance,2.0299999713897705,2348391.9335691133,67.66666571299235,0.3045304487533409,5.068603403100593,0.2198253392626272,0.06261962874599471,4.231781415127388,-0.32739136672052105,-0.3091511596074259,,0.9392840965788397,0.7231618231520679,0.43433407578379835,-0.4774535896591475,251,2026-08-07 00:00:00+00:00
JHSF3,,JHSF Participações S.A.,Real Estate,Real Estate - Development,7193823744.0,3613516032.0,1770343040.0,1915403008.0,7061815156.352,4242999040.0,5553900032.0,0.27879998,0.40752,0.53007,0.7864691880251705,0.333,0.052,0.29286378521698,0.9816497271553666,0.5023081132636658,5.029856179737911,3.4145567,1.0186933,5.03,8904570880.0,1770343040.0,1808874752.0,0.477,3.16,10.592,Yahoo Finance,10.789999961853027,46991420.9338665,3.4145569499534894,1.018693349872831,5.029856179737911,0.2514483001489562,0.5005857829275573,0.7404785187846984,-0.02621401622280206,0.18340510138368038,,0.9928790239206854,1.1539526158689977,0.3855604003623669,-0.2793894242963958,251,2026-08-07 00:00:00+00:00
JSLG3,,JSL S.A.,Industrials,Integrated Freight & Logistics,1540992256.0,9693385728.0,1529030016.0,-95096000.0,1166302763.779,1435416064.0,7743635968.0,-0.06431,0.03198,-0.00981,6.639473221266689,0.023,,-0.0617108876632797,0.7568518173450153,6.290353303371824,5.1334583506305735,,1.3212626,5.133,7849211904.0,1529030016.0,1282167168.0,0.359,-0.33,4.087,Yahoo Finance,5.400000095367432,4108347.072556019,,1.3212625630945516,5.1334583506305735,0.8320399813871615,0.13227237664713717,4.125635100678102,-0.22077918771579375,-0.3005181033517391,,0.9570056554479236,0.8690099620798419,0.5809238137806857,-0.3773148263126239,251,2026-08-07 00:00:00+00:00
KEPL3,,Kepler Weber S.A.,Industrials,Farm & Heavy Construction Machinery,1058604224.0,1451128960.0,198270000.0,147846000.0,791440949.7679999,375759008.0,336063008.0,0.19634001,0.06931,0.10188,0.4246217081621974,-0.11,-0.33,0.1391162028321471,0.7476267709596044,1.3707946058601783,5.141280072628234,7.1882353,1.3375658,5.141,1019361600.0,198270000.0,-2319500.0,0.046,0.85,4.568,Yahoo Finance,6.110000133514404,5673573.007311026,7.1882354511934174,1.337565703483889,5.141280072628234,-0.002191092711906655,-0.0015984106608967407,-0.200211832349826,-0.18533331553141275,-0.3950495145797913,,0.9455277241337613,0.7416498240957934,0.3511159353595377,-0.41626794105544285,251,2026-08-07 00:00:00+00:00
