ticker,sector,datetime,raw_score_20d,rank_score_20d,confirm_20d,raw_score_60d,rank_score_60d,confirm_60d,qlib_v4_ensemble_rank,qlib_v4_confirm,qlib_v4_status
BRAP4,Financial Services,2026-08-07,0.34578447537589063,77.83018867924528,False,0.34096038845035986,100.0,True,88.91509433962264,False,NAO_CONFIRMA
BRAV3,Energy,2026-08-07,0.3430442909515011,59.43396226415094,False,0.3115823141245053,31.60377358490566,False,45.5188679245283,False,NAO_CONFIRMA
BRBI11,Financial Services,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32008100066621803,54.24528301886793,False,66.0377358490566,False,NAO_CONFIRMA
BRKM5,Basic Materials,2026-08-07,0.3334651139584137,31.132075471698112,False,0.3294658188787177,88.67924528301887,False,59.905660377358494,False,NAO_CONFIRMA
BRSR6,Financial Services,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32584008826903804,79.24528301886792,False,78.5377358490566,False,NAO_CONFIRMA
CAML3,Consumer Defensive,2026-08-07,0.3324370758578982,25.471698113207548,False,0.32008100066621803,54.24528301886793,False,39.85849056603774,False,NAO_CONFIRMA
CASH3,Communication Services,2026-08-07,0.3048960822529491,0.9433962264150944,False,0.3115823141245053,31.60377358490566,False,16.27358490566038,False,NAO_CONFIRMA
CBAV3,Basic Materials,2026-08-07,0.32493420291002223,11.320754716981133,False,0.31467724154722615,36.79245283018868,False,24.056603773584907,False,NAO_CONFIRMA
CEAB3,Consumer Cyclical,2026-08-07,0.3324370758578982,25.471698113207548,False,0.30508064877933444,10.377358490566039,False,17.924528301886795,False,NAO_CONFIRMA
CMIG4,Utilities,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32584008826903804,79.24528301886792,False,78.5377358490566,False,NAO_CONFIRMA
CMIN3,Basic Materials,2026-08-07,0.31872081273102104,6.60377358490566,False,0.31834937757625253,42.45283018867924,False,24.528301886792452,False,NAO_CONFIRMA
COGN3,Consumer Defensive,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32008100066621803,54.24528301886793,False,66.0377358490566,False,NAO_CONFIRMA
CPFE3,Utilities,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32584008826903804,79.24528301886792,False,78.5377358490566,False,NAO_CONFIRMA
CPLE3,Utilities,2026-08-07,0.3294766100742007,17.452830188679243,False,0.32584008826903804,79.24528301886792,False,48.34905660377358,False,NAO_CONFIRMA
CSAN3,Energy,2026-08-07,0.33731474773075043,41.0377358490566,False,0.30508064877933444,10.377358490566039,False,25.70754716981132,False,NAO_CONFIRMA
CSED3,Consumer Defensive,2026-08-07,0.33731474773075043,41.0377358490566,False,0.32008100066621803,54.24528301886793,False,47.64150943396227,False,NAO_CONFIRMA
CSMG3,Utilities,2026-08-07,0.3095570432612863,1.8867924528301887,False,0.3074877958750967,17.92452830188679,False,9.90566037735849,False,NAO_CONFIRMA
CSNA3,Basic Materials,2026-08-07,0.33570649612260334,36.79245283018868,False,0.3215463984095381,64.15094339622641,False,50.471698113207545,False,NAO_CONFIRMA
CURY3,Real Estate,2026-08-07,0.34250481757845813,56.60377358490566,False,0.32950788063752223,91.50943396226415,True,74.05660377358491,False,NAO_CONFIRMA
CVCB3,Consumer Cyclical,2026-08-07,0.3324370758578982,25.471698113207548,False,0.30508064877933444,10.377358490566039,False,17.924528301886795,False,NAO_CONFIRMA
CXSE3,Financial Services,2026-08-07,0.3176638965027052,4.245283018867925,False,0.3084737585110325,18.867924528301888,False,11.556603773584907,False,NAO_CONFIRMA
CYRE3,Consumer Cyclical,2026-08-07,0.34578447537589063,77.83018867924528,False,0.32008100066621803,54.24528301886793,False,66.0377358490566,False,NAO_CONFIRMA
DASA3,Healthcare,2026-08-07,0.3324370758578982,25.471698113207548,False,0.3204720623597274,63.20754716981132,False,44.339622641509436,False,NAO_CONFIRMA
DESK3,Communication Services,2026-08-07,0.3294766100742007,17.452830188679243,False,0.32164574812142005,65.56603773584906,False,41.509433962264154,False,NAO_CONFIRMA
DIRR3,Real Estate,2026-08-07,0.34250481757845813,56.60377358490566,False,0.32950788063752223,91.50943396226415,True,74.05660377358491,False,NAO_CONFIRMA
DXCO3,Basic Materials,2026-08-07,0.34386452352612934,60.84905660377359,False,0.33245071548987826,94.81132075471697,True,77.83018867924528,False,NAO_CONFIRMA
